127.0.0.1 - - [26/Jul/2014:07:24:06 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [26/Jul/2014:07:24:07 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [26/Jul/2014:07:24:08 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [26/Jul/2014:07:24:11 +0530] "GET /Project/adminlogin.jsp HTTP/1.1" 200 1693
0:0:0:0:0:0:0:1 - - [26/Jul/2014:07:24:13 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [26/Jul/2014:07:24:13 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [26/Jul/2014:07:24:16 +0530] "GET /Project/adminlogin.jsp HTTP/1.1" 200 1693
0:0:0:0:0:0:0:1 - - [26/Jul/2014:07:24:43 +0530] "GET /Project/index.jsp HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [26/Jul/2014:07:24:43 +0530] "GET /Project/header.jsp HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [26/Jul/2014:07:24:44 +0530] "GET /Project/menu.jsp HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [26/Jul/2014:07:24:44 +0530] "GET /Project/home.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [26/Jul/2014:07:24:47 +0530] "GET /Project/Register.jsp HTTP/1.1" 200 7343
0:0:0:0:0:0:0:1 - - [26/Jul/2014:07:24:47 +0530] "GET /Project/style.css HTTP/1.1" 404 1006
0:0:0:0:0:0:0:1 - - [26/Jul/2014:07:24:49 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [26/Jul/2014:07:24:49 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [26/Jul/2014:07:24:52 +0530] "GET /Project/adminlogin.jsp HTTP/1.1" 200 1693
0:0:0:0:0:0:0:1 - - [26/Jul/2014:07:25:08 +0530] "POST /Project/adminlogin1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2014:07:25:08 +0530] "POST /Project/adminlogin1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2014:07:25:08 +0530] "GET /Project/adminframe.jsp HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [26/Jul/2014:07:25:08 +0530] "GET /Project/adminmenu.jsp HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [26/Jul/2014:07:25:08 +0530] "GET /Project/adminhome.jsp HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [26/Jul/2014:07:25:11 +0530] "GET /Project/deleteproducts.jsp HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [26/Jul/2014:07:25:12 +0530] "GET /Project/purchasedetails.jsp HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [26/Jul/2014:07:25:14 +0530] "GET /Project/modifyproduct.jsp HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [26/Jul/2014:07:25:15 +0530] "GET /Project/addproducts.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [26/Jul/2014:07:32:23 +0530] "GET /Project/addproducts.jsp HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [26/Jul/2014:07:34:25 +0530] "GET /Project/addproducts.jsp HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:03:57 +0530] "GET /Project/stamps_addproducts.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:04:00 +0530] "POST /Project/addproducts1.jsp HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:04:18 +0530] "GET /Project/stamps_addproducts.jsp HTTP/1.1" 200 1451
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:04:46 +0530] "GET /Project/stamps_addproducts.jsp HTTP/1.1" 200 1469
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:05:10 +0530] "GET /Project/stamps_addproducts.jsp HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:05:10 +0530] "GET /Project/white HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:06:42 +0530] "GET /Project/stamps_addproducts.jsp HTTP/1.1" 200 1564
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:06:42 +0530] "GET /Project/white HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:07:16 +0530] "GET /Project/stamps_addproducts.jsp HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:07:16 +0530] "GET /Project/white HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:08:30 +0530] "GET /Project/stamps_addproducts.jsp HTTP/1.1" 200 1584
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:08:30 +0530] "GET /Project/white HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:10:08 +0530] "GET /Project/stamps_addproducts.jsp HTTP/1.1" 200 1728
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:10:08 +0530] "GET /Project/white HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:10:13 +0530] "POST /Project/addproducts1.jsp HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:10:14 +0530] "GET /Project/white HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:10:45 +0530] "GET /Project/stamps_addproducts.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:10:45 +0530] "GET /Project/white HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:26:39 +0530] "GET /Project/stamps_addproducts.jsp HTTP/1.1" 200 1771
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:26:39 +0530] "GET /Project/white HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:26:53 +0530] "POST /Project/stamp_addproducts1.jsp HTTP/1.1" 500 2635
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:28:04 +0530] "POST /Project/stamp_addproducts1.jsp HTTP/1.1" 500 2635
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:28:33 +0530] "GET /Project/stamp_addproducts1.jsp HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:29:53 +0530] "GET /Project/stamps_addproducts.jsp HTTP/1.1" 200 1771
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:29:53 +0530] "GET /Project/white HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:30:05 +0530] "POST /Project/stamp_addproducts1.jsp HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:31:27 +0530] "GET /Project/stamps_addproducts.jsp HTTP/1.1" 200 1771
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:31:27 +0530] "GET /Project/white HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:31:42 +0530] "POST /Project/stamp_addproducts1.jsp HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:56:36 +0530] "GET /Project/stamps_addproducts.jsp HTTP/1.1" 200 1771
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:56:36 +0530] "GET /Project/white HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:56:37 +0530] "GET /Project/stamps_addproducts.jsp HTTP/1.1" 200 1771
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:56:37 +0530] "GET /Project/white HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Jul/2014:08:56:49 +0530] "POST /Project/stamp_addproducts1.jsp HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [26/Jul/2014:09:01:24 +0530] "GET /Project/stamps_addproducts.jsp HTTP/1.1" 200 1771
0:0:0:0:0:0:0:1 - - [26/Jul/2014:09:01:24 +0530] "GET /Project/white HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Jul/2014:09:01:35 +0530] "POST /Project/stamp_addproducts1.jsp HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [26/Jul/2014:09:02:50 +0530] "GET /Project/stamps_addproducts.jsp HTTP/1.1" 200 1771
0:0:0:0:0:0:0:1 - - [26/Jul/2014:09:02:51 +0530] "GET /Project/white HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Jul/2014:09:02:57 +0530] "POST /Project/stamp_addproducts1.jsp HTTP/1.1" 200 271
