127.0.0.1 - - [10/Aug/2014:08:01:08 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [10/Aug/2014:08:01:09 +0530] "GET /Project/cataloglist.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:08:01:09 +0530] "GET /Project/catalogloginfail.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [10/Aug/2014:08:01:09 +0530] "GET /Project/background_home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:08:01:23 +0530] "GET /Project/index.jsp HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [10/Aug/2014:08:01:23 +0530] "GET /Project/header.jsp HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [10/Aug/2014:08:01:23 +0530] "GET /Project/menu.jsp HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [10/Aug/2014:08:01:23 +0530] "GET /Project/home.jsp HTTP/1.1" 200 787
0:0:0:0:0:0:0:1 - - [10/Aug/2014:08:01:23 +0530] "GET /Project/bottom.jsp HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [10/Aug/2014:08:01:23 +0530] "GET /Project/PostOffice_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:08:01:23 +0530] "GET /Project/img-thing.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:08:01:23 +0530] "GET /Project/menu-wrapper.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:08:01:23 +0530] "GET /Project/postoffice_home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:08:01:23 +0530] "GET /Project/login.png HTTP/1.1" 200 12203
0:0:0:0:0:0:0:1 - - [10/Aug/2014:08:01:25 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 2709
0:0:0:0:0:0:0:1 - - [10/Aug/2014:08:01:25 +0530] "GET /Project/css/style.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [10/Aug/2014:08:01:34 +0530] "POST /Project/Login2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:08:01:35 +0530] "GET /Project/home.jsp HTTP/1.1" 200 787
0:0:0:0:0:0:0:1 - - [10/Aug/2014:08:01:37 +0530] "GET /Project/cataloglist.jsp HTTP/1.1" 200 620
